file,class,method,variable,usage
C:\Users\apant\GA1\antlr4\tool\src\org\antlr\v4\automata\ATNFactory.java,org.antlr.v4.automata.ATNFactory$Handle,"Handle/2[org.antlr.v4.runtime.atn.ATNState,org.antlr.v4.runtime.atn.ATNState]",left,2
C:\Users\apant\GA1\antlr4\tool\src\org\antlr\v4\automata\ATNFactory.java,org.antlr.v4.automata.ATNFactory$Handle,"Handle/2[org.antlr.v4.runtime.atn.ATNState,org.antlr.v4.runtime.atn.ATNState]",right,2
C:\Users\apant\GA1\antlr4\tool\src\org\antlr\v4\codegen\model\decl\ContextRuleListGetterDecl.java,org.antlr.v4.codegen.model.decl.ContextRuleListGetterDecl,"ContextRuleListGetterDecl/4[org.antlr.v4.codegen.OutputModelFactory,java.lang.String,java.lang.String,boolean]",factory,1
C:\Users\apant\GA1\antlr4\tool\src\org\antlr\v4\codegen\model\decl\ContextRuleListGetterDecl.java,org.antlr.v4.codegen.model.decl.ContextRuleListGetterDecl,"ContextRuleListGetterDecl/4[org.antlr.v4.codegen.OutputModelFactory,java.lang.String,java.lang.String,boolean]",signature,1
C:\Users\apant\GA1\antlr4\tool\src\org\antlr\v4\codegen\model\decl\ContextRuleListGetterDecl.java,org.antlr.v4.codegen.model.decl.ContextRuleListGetterDecl,"ContextRuleListGetterDecl/4[org.antlr.v4.codegen.OutputModelFactory,java.lang.String,java.lang.String,boolean]",name,1
C:\Users\apant\GA1\antlr4\tool\src\org\antlr\v4\codegen\model\decl\ContextRuleListGetterDecl.java,org.antlr.v4.codegen.model.decl.ContextRuleListGetterDecl,"ContextRuleListGetterDecl/4[org.antlr.v4.codegen.OutputModelFactory,java.lang.String,java.lang.String,boolean]",ctxName,2
C:\Users\apant\GA1\antlr4\tool\src\org\antlr\v4\codegen\model\decl\ContextRuleListGetterDecl.java,org.antlr.v4.codegen.model.decl.ContextRuleListGetterDecl,"ContextRuleListGetterDecl/3[org.antlr.v4.codegen.OutputModelFactory,java.lang.String,java.lang.String]",factory,1
C:\Users\apant\GA1\antlr4\tool\src\org\antlr\v4\codegen\model\decl\ContextRuleListGetterDecl.java,org.antlr.v4.codegen.model.decl.ContextRuleListGetterDecl,"ContextRuleListGetterDecl/3[org.antlr.v4.codegen.OutputModelFactory,java.lang.String,java.lang.String]",name,1
C:\Users\apant\GA1\antlr4\tool\src\org\antlr\v4\codegen\model\decl\ContextRuleListGetterDecl.java,org.antlr.v4.codegen.model.decl.ContextRuleListGetterDecl,"ContextRuleListGetterDecl/3[org.antlr.v4.codegen.OutputModelFactory,java.lang.String,java.lang.String]",ctxName,1
C:\Users\apant\GA1\antlr4\tool-testsuite\test\org\antlr\v4\test\tool\JavaUnicodeInputStream.java,org.antlr.v4.test.tool.JavaUnicodeInputStream,isHexDigit/1[int],c,6
C:\Users\apant\GA1\antlr4\tool-testsuite\test\org\antlr\v4\test\tool\JavaUnicodeInputStream.java,org.antlr.v4.test.tool.JavaUnicodeInputStream,LA/1[int],slashCountPtr,1
C:\Users\apant\GA1\antlr4\tool-testsuite\test\org\antlr\v4\test\tool\JavaUnicodeInputStream.java,org.antlr.v4.test.tool.JavaUnicodeInputStream,LA/1[int],c,2
